央视频道,#genre#

CCTV1,http://cfyy.vip/api/ysp/cctv1.m3u8
CCTV2,http://cfyy.vip/api/ysp/cctv2.m3u8
CCTV3,http://cfyy.vip/api/ysp/cctv3.m3u8
CCTV4,http://cfyy.vip/api/ysp/cctv4.m3u8
CCTV5,http://cfyy.vip/api/ysp/cctv5.m3u8
CCTV5+,http://cfyy.vip/api/ysp/cctv5p.m3u8
CCTV6,http://cfyy.vip/api/ysp/cctv6.m3u8
CCTV7,http://cfyy.vip/api/ysp/cctv7.m3u8
CCTV8,http://cfyy.vip/api/ysp/cctv8.m3u8
CCTV9,http://cfyy.vip/api/ysp/cctv9.m3u8
CCTV10,http://cfyy.vip/api/ysp/cctv10.m3u8
CCTV11,http://cfyy.vip/api/ysp/cctv11.m3u8
CCTV12,http://cfyy.vip/api/ysp/cctv12.m3u8
CCTV13,http://cfyy.vip/api/ysp/cctv13.m3u8
CCTV14,http://cfyy.vip/api/ysp/cctv14.m3u8
CCTV15,http://cfyy.vip/api/ysp/cctv15.m3u8
CCTV16,http://cfyy.vip/api/ysp/cctv16.m3u8
CCTV17,http://cfyy.vip/api/ysp/cctv17.m3u8
CGTN,http://cfss.vip/api/ysp/cgtn.m3u8
CGTN,http://cfss.cc/api/ysp/cgtn.m3u8
CCTV1,http://cfss.vip/api/ysp/cctv1.m3u8
CCTV2,http://cfss.vip/api/ysp/cctv2.m3u8
CCTV3,http://cfss.vip/api/ysp/cctv3.m3u8
CCTV4,http://cfss.vip/api/ysp/cctv4.m3u8
CCTV5,http://cfss.vip/api/ysp/cctv5.m3u8
CCTV5+,http://cfss.vip/api/ysp/cctv5p.m3u8
CCTV6,http://cfss.vip/api/ysp/cctv6.m3u8
CCTV7,http://cfss.vip/api/ysp/cctv7.m3u8
CCTV8,http://cfss.vip/api/ysp/cctv8.m3u8
CCTV9,http://cfss.vip/api/ysp/cctv9.m3u8
CCTV10,http://cfss.vip/api/ysp/cctv10.m3u8
CCTV11,http://cfss.vip/api/ysp/cctv11.m3u8
CCTV12,http://cfss.vip/api/ysp/cctv12.m3u8
CCTV13,http://cfss.vip/api/ysp/cctv13.m3u8
CCTV14,http://cfss.vip/api/ysp/cctv14.m3u8
CCTV15,http://cfss.vip/api/ysp/cctv15.m3u8
CCTV16,http://cfss.vip/api/ysp/cctv16.m3u8
CCTV17,http://cfss.vip/api/ysp/cctv17.m3u8
CGTN,http://cfss.vip/api/ysp/cgtn.m3u8
CGTN,http://cfss.cc/api/ysp/cgtn.m3u8

CCTV兵器科技,http://cfss.cc/api/ysp/bqkj.m3u8
CCTV兵器科技,http://cfss.vip/api/ysp/bqkj.m3u8
CCTV第一剧场,http://cfss.cc/api/ysp/dyjc.m3u8
CCTV第一剧场,http://cfss.vip/api/ysp/dyjc.m3u8
CCTV怀旧剧场,http://cfss.cc/api/ysp/hjjc.m3u8
CCTV怀旧剧场,http://cfss.vip/api/ysp/hjjc.m3u8
CCTV风云剧场,http://cfss.cc/api/ysp/fyjc.m3u8
CCTV风云剧场,http://cfss.vip/api/ysp/fyjc.m3u8
CCTV风云音乐,http://cfss.cc/api/ysp/fyyy.m3u8
CCTV风云音乐,http://cfss.vip/api/ysp/fyyy.m3u8
CCTV风云足球,http://cfss.cc/api/ysp/fyzq.m3u8
CCTV风云足球,http://cfss.vip/api/ysp/fyzq.m3u8
CCTV电视指南,http://cfss.cc/api/ysp/dszn.m3u8
CCTV电视指南,http://cfss.vip/api/ysp/dszn.m3u8
CCTV女性时尚,http://cfss.cc/api/ysp/nxss.m3u8
CCTV女性时尚,http://cfss.vip/api/ysp/nxss.m3u8
CCTV央视文化,http://cfss.cc/api/ysp/yswh.m3u8
CCTV央视文化,http://cfss.vip/api/ysp/yswh.m3u8
CCTV世界地理,http://cfss.cc/api/ysp/sjdl.m3u8
CCTV世界地理,http://cfss.vip/api/ysp/sjdl.m3u8
CCTV央视台球,http://cfss.cc/api/ysp/ystq.m3u8
CCTV央视台球,http://cfss.vip/api/ysp/ystq.m3u8
CCTV卫生健康,http://cfss.cc/api/ysp/wsjk.m3u8
CCTV卫生健康,http://cfss.vip/api/ysp/wsjk.m3u8
CCTV高尔夫网球,http://cfss.cc/api/ysp/gefwq.m3u8
CCTV高尔夫网球,http://cfss.vip/api/ysp/gefwq.m3u8

中央新影-老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
中央新影-发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
中国教育1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8
中国教育1,http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8
中国教育1,http://117.148.179.149/PLTV/88888888/224/3221231552/index.m3u8
中国教育2,https://pi.0472.org/live?auth=202308110958&id=cetv2
